client_public,role,time
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1752710
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1746163
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1776503
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1754911
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1750992
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1789475
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1787519
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1771629
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1777648
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1776877
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1774368
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1775530
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1777822
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1795013
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1780537
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1745451
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1746636
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1750947
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1752794
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1744909
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1752850
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1778567
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1773346
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1777638
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1756489
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1809881
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1797569
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1783465
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1777378
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1794219
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1772117
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1744098
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1747090
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1755832
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1759470
